genotype	Flowering_date	Flowering_date_log10	Plant_height	Plant_height_log10	Plant_width	Plant_width_log10	Stem_number	Stem_number_log10	Fresh_weight	Fresh_weight_log10
Aa4379_9	100	2	70	1.84509804	25	1.397940009	58	1.763427994	1626.2	3.211173957
Aa4388_1	45	1.653212514	50	1.698970004	70	1.84509804	54	1.73239376	248.8	2.395850376
Aa4388_2	45	1.653212514	50	1.698970004	85	1.929418926	24	1.380211242	146.7	2.166430114
Aa4388_3	45	1.653212514	40	1.602059991	70	1.84509804	43	1.633468456	178.7	2.252124553
Aa4388_4	48.5	1.685741739	35	1.544068044	80	1.903089987	58	1.763427994	359.6	2.555819683
Aa4388_5	55.5	1.744292983	40	1.602059991	90	1.954242509	61	1.785329835	377.7	2.577146985
Aa4388_6	45	1.653212514	37	1.568201724	67	1.826074803	54	1.73239376	296.6	2.472171147
Aa4388_7	45	1.653212514	36	1.556302501	65	1.812913357	61	1.785329835	406.8	2.609380944
Aa4388_8	55.5	1.744292983	32	1.505149978	58	1.763427994	23	1.361727836	91.4	1.960946196
Aa4390_1	80	1.903089987	25	1.397940009	70	1.84509804	105	2.021189299	369	2.567026366
Aa4390_2	80	1.903089987	23	1.361727836	70	1.84509804	47	1.672097858	237	2.374748346
Aa4390_3	100	2	20	1.301029996	50	1.698970004	113	2.053078443	261.1	2.416806872
Aa4390_4	100	2	18	1.255272505	60	1.77815125	45	1.653212514	150.6	2.177824972
Aa4390_5	100	2	16	1.204119983	60	1.77815125	15	1.176091259	55	1.740362689
Aa4390_6	100	2	20	1.301029996	55	1.740362689	61	1.785329835	178.6	2.251881455
Aa4390_7	80	1.903089987	45	1.653212514	75	1.875061263	60	1.77815125	154.9	2.190051418
Aa4390_8	80	1.903089987	43	1.633468456	70	1.84509804	105	2.021189299	235.7	2.372359583
Aa4397_1	80	1.903089987	25	1.397940009	65	1.812913357	118	2.071882007	225.1	2.352375495
Aa4397_2	69.5	1.841984805	30	1.477121255	75	1.875061263	128	2.10720997	209	2.320146286
Aa4397_3	69.5	1.841984805	24	1.380211242	24	1.380211242	11	1.041392685	28	1.447158031
Aa4397_4	73	1.86332286	30	1.477121255	80	1.903089987	380	2.579783597	571.3	2.756864224
Aa4397_5	69.5	1.841984805	20	1.301029996	50	1.698970004	42	1.62324929	142.8	2.154728207
Aa4397_6	80	1.903089987	20	1.301029996	100	2	116	2.064457989	537.2	2.730136004
Aa4397_7	69.5	1.841984805	30	1.477121255	65	1.812913357	152	2.181843588	248.2	2.394801777
Aa4397_8	80	1.903089987	20	1.301029996	50	1.698970004	29	1.462397998	80	1.903089987
Aa4398_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4398_2	66	1.819543936	31	1.491361694	25	1.397940009	8	0.903089987	19.5	1.290034611
Aa4398_3	100	2	12	1.079181246	12	1.079181246	1	0	3.8	0.579783597
Aa4398_4	59	1.770852012	35	1.544068044	40	1.602059991	7	0.84509804	13.9	1.1430148
Aa4398_5	69.5	1.841984805	40	1.602059991	65	1.812913357	15	1.176091259	36.6	1.563481085
Aa4398_6	62.5	1.795880017	35	1.544068044	50	1.698970004	14	1.146128036	25.7	1.409933123
Aa4398_7	66	1.819543936	30	1.477121255	25	1.397940009	17	1.230448921	21.8	1.338456494
Aa4398_8	48.5	1.685741739	35	1.544068044	50	1.698970004	82	1.913813852	68.2	1.833784375
Aa4399_1	80	1.903089987	51	1.707570176	52	1.716003344	147	2.167317335	2542.3	3.405226797
Aa4399_2	100	2	55	1.740362689	70	1.84509804	90	1.954242509	965	2.984527313
Aa4399_3	80	1.903089987	48	1.681241237	50	1.698970004	111	2.045322979	667.8	2.824646415
Aa4399_4	80	1.903089987	49	1.69019608	50	1.698970004	215	2.33243846	1115.9	3.047625278
Aa4399_5	80	1.903089987	50	1.698970004	83	1.919078092	245	2.389166084	1718.9	3.235250612
Aa4399_6	73	1.86332286	50	1.698970004	60	1.77815125	160	2.204119983	568.1	2.754424789
Aa4399_7	73	1.86332286	55	1.740362689	60	1.77815125	104	2.017033339	548.3	2.739018246
Aa4399_8	66	1.819543936	48	1.681241237	50	1.698970004	52	1.716003344	397.7	2.599555591
Aa4401_1	69.5	1.841984805	34	1.531478917	55	1.740362689	44	1.643452676	163.7	2.214048679
Aa4401_2	100	2	30	1.477121255	25	1.397940009	12	1.079181246	18.1	1.257678575
Aa4401_3	69.5	1.841984805	27	1.431363764	62	1.792391689	78	1.892094603	98	1.991226076
Aa4401_4	69.5	1.841984805	26	1.414973348	55	1.740362689	50	1.698970004	106.7	2.028164419
Aa4401_5	100	2	14	1.146128036	20	1.301029996	15	1.176091259	30.9	1.489958479
Aa4401_6	73	1.86332286	30	1.477121255	54	1.73239376	20	1.301029996	65.9	1.818885415
Aa4401_7	80	1.903089987	11	1.041392685	50	1.698970004	17	1.230448921	29.9	1.475671188
Aa4401_8	76.5	1.883661435	26	1.414973348	55	1.740362689	110	2.041392685	212	2.326335861
Aa4402_1	66	1.819543936	33	1.51851394	80	1.903089987	173	2.238046103	530	2.72427587
Aa4402_2	66	1.819543936	31	1.491361694	100	2	266	2.424881637	557	2.745855195
Aa4402_3	76.5	1.883661435	34	1.531478917	80	1.903089987	121	2.08278537	515.5	2.71222867
Aa4402_4	66	1.819543936	30	1.477121255	80	1.903089987	32	1.505149978	167.9	2.225050696
Aa4402_5	69.5	1.841984805	40	1.602059991	70	1.84509804	127	2.103803721	215.6	2.333648757
Aa4402_6	66	1.819543936	40	1.602059991	85	1.929418926	142	2.152288344	340	2.531478917
Aa4402_7	66	1.819543936	20	1.301029996	40	1.602059991	18	1.255272505	46.7	1.669316881
Aa4402_8	66	1.819543936	39	1.591064607	100	2	97	1.986771734	411.9	2.614791792
Aa4403_1	80	1.903089987	30	1.477121255	85	1.929418926	63	1.799340549	410	2.612783857
Aa4403_2	66	1.819543936	35	1.544068044	60	1.77815125	74	1.86923172	244.4	2.388101202
Aa4403_3	100	2	10	1	85	1.929418926	217	2.336459734	661.1	2.820267157
Aa4403_4	80	1.903089987	40	1.602059991	70	1.84509804	60	1.77815125	230.7	2.363047595
Aa4403_5	100	2	30	1.477121255	85	1.929418926	175	2.243038049	923.7	2.965530944
Aa4403_6	80	1.903089987	40	1.602059991	90	1.954242509	205	2.311753861	964.2	2.984167127
Aa4403_7	100	2	25	1.397940009	75	1.875061263	126	2.100370545	393.1	2.594503044
Aa4403_8	73	1.86332286	40	1.602059991	90	1.954242509	130	2.113943352	492.9	2.692758818
Aa4405_1	69.5	1.841984805	27	1.431363764	30	1.477121255	7	0.84509804	47.3	1.674861141
Aa4405_2	80	1.903089987	40	1.602059991	65	1.812913357	15	1.176091259	132.4	2.121887985
Aa4405_3	80	1.903089987	35	1.544068044	60	1.77815125	12	1.079181246	51.9	1.715167358
Aa4405_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4405_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4405_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4405_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4405_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4406_1	80	1.903089987	50	1.698970004	40	1.602059991	6	0.77815125	50.9	1.706717782
Aa4406_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4406_3	100	2	50	1.698970004	20	1.301029996	5	0.698970004	24.1	1.382017043
Aa4406_4	80	1.903089987	43	1.633468456	55	1.740362689	11	1.041392685	69.7	1.843232778
Aa4406_5	80	1.903089987	48	1.681241237	60	1.77815125	10	1	304.2541616	2.107640136
Aa4406_6	80	1.903089987	50	1.698970004	35	1.544068044	7	0.84509804	73.3	1.865103975
Aa4406_7	80	1.903089987	35	1.544068044	40	1.602059991	17	1.230448921	83.9	1.923761961
Aa4406_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_2	100	2	16	1.204119983	23	1.361727836	23	1.361727836	30.4	1.482873584
Aa4437_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4437_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4438_1	59	1.770852012	50	1.698970004	20	1.301029996	54	1.73239376	331.4	2.520352504
Aa4438_2	66	1.819543936	40	1.602059991	25	1.397940009	28	1.447158031	186.7	2.271144318
Aa4438_3	59	1.770852012	62	1.792391689	20	1.301029996	34	1.531478917	347.7	2.541204691
Aa4438_4	45	1.653212514	52	1.716003344	27	1.431363764	69	1.838849091	475.8	2.677424438
Aa4438_5	59	1.770852012	39	1.591064607	18	1.255272505	22	1.342422681	104	2.017033339
Aa4438_6	45	1.653212514	36	1.556302501	25	1.397940009	65	1.812913357	202.5	2.306425028
Aa4438_7	59	1.770852012	54	1.73239376	27	1.431363764	77	1.886490725	556.5	2.745465169
Aa4438_8	69.5	1.841984805	37	1.568201724	12	1.079181246	15	1.176091259	151	2.178976947
Aa4439_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4439_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4439_3	73	1.86332286	15	1.176091259	5	0.698970004	2	0.301029996	1	0
Aa4439_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4439_5	100	2	40	1.602059991	30	1.477121255	8	0.903089987	33	1.51851394
Aa4439_6	73	1.86332286	53	1.72427587	45	1.653212514	16	1.204119983	98	1.991226076
Aa4439_7	73	1.86332286	36	1.556302501	30	1.477121255	32	1.505149978	61	1.785329835
Aa4439_8	73	1.86332286	36	1.556302501	50	1.698970004	12	1.079181246	25	1.397940009
Aa4441_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4441_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4441_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4441_4	69.5	1.841984805	32	1.505149978	40	1.602059991	67	1.826074803	148.2	2.170848204
Aa4441_5	69.5	1.841984805	20	1.301029996	40	1.602059991	51	1.707570176	160	2.204119983
Aa4441_6	100	2	10	1	10	1	15	1.176091259	28.2	1.450249108
Aa4441_7	73	1.86332286	30	1.477121255	40	1.602059991	17	1.230448921	42.7	1.630427875
Aa4441_8	48.5	1.685741739	30	1.477121255	50	1.698970004	75	1.875061263	142	2.152288344
Aa4442_1	62.5	1.795880017	40	1.602059991	75	1.875061263	80	1.903089987	217	2.336459734
Aa4442_2	48.5	1.685741739	49	1.69019608	85	1.929418926	62	1.792391689	326	2.5132176
Aa4442_3	55.5	1.744292983	37	1.568201724	60	1.77815125	74	1.86923172	154	2.187520721
Aa4442_4	66	1.819543936	37	1.568201724	80	1.903089987	79	1.897627091	222	2.346352974
Aa4442_5	45	1.653212514	37	1.568201724	80	1.903089987	62	1.792391689	324	2.51054501
Aa4442_6	45	1.653212514	28	1.447158031	30	1.477121255	13	1.113943352	23	1.361727836
Aa4442_7	59	1.770852012	43	1.633468456	75	1.875061263	34	1.531478917	108	2.033423755
Aa4442_8	45	1.653212514	43	1.633468456	69	1.838849091	53	1.72427587	167	2.222716471
Aa4443_1	52	1.716003344	33	1.51851394	60	1.77815125	18	1.255272505	100.6	2.002597981
Aa4443_2	66	1.819543936	30	1.477121255	75	1.875061263	32	1.505149978	166.4	2.221153322
Aa4443_4	45	1.653212514	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4443_5	69.5	1.841984805	39	1.591064607	95	1.977723605	93	1.968482949	669	2.825426118
Aa4443_6	45	1.653212514	33	1.51851394	85	1.929418926	52	1.716003344	358	2.553883027
Aa4443_7	59	1.770852012	35	1.544068044	80	1.903089987	61	1.785329835	313	2.495544338
Aa4443_8	59	1.770852012	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4444_1	100	2	58	1.763427994	20	1.301029996	85	1.929418926	1606.6	3.205907763
Aa4444_2	100	2	60	1.77815125	16	1.204119983	49	1.69019608	1073.9	3.030963842
Aa4444_3	100	2	70	1.84509804	15	1.176091259	71	1.851258349	1665.4	3.22151856
Aa4444_4	100	2	70	1.84509804	18	1.255272505	69	1.838849091	1918	3.282848603
Aa4444_5	100	2	72	1.857332496	18	1.255272505	76	1.880813592	1620	3.209515015
Aa4444_6	100	2	52	1.716003344	20	1.301029996	104	2.017033339	747.3	2.873494982
Aa4444_7	100	2	54	1.73239376	19	1.278753601	62	1.792391689	1344.5	3.128560807
Aa4444_8	100	2	61	1.785329835	16	1.204119983	61	1.785329835	1355.6	3.13213156
Aa4445_1	59	1.770852012	38	1.579783597	70	1.84509804	25	1.397940009	201.8	2.304921162
Aa4445_2	69.5	1.841984805	43	1.633468456	35	1.544068044	23	1.361727836	148.8	2.172602931
Aa4445_3	62.5	1.795880017	40	1.602059991	80	1.903089987	26	1.414973348	299	2.475671188
Aa4445_4	62.5	1.795880017	42	1.62324929	75	1.875061263	43	1.633468456	401.1	2.603252662
Aa4445_5	59	1.770852012	50	1.698970004	45	1.653212514	37	1.568201724	131.7	2.119585775
Aa4445_6	45	1.653212514	51	1.707570176	65	1.812913357	23	1.361727836	255	2.40654018
Aa4445_7	62.5	1.795880017	44	1.643452676	60	1.77815125	26	1.414973348	232.2	2.365862215
Aa4445_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4446_1	55.5	1.744292983	35	1.544068044	30	1.477121255	49	1.69019608	31.4	1.496929648
Aa4446_2	59	1.770852012	40	1.602059991	30	1.477121255	30	1.477121255	47.7	1.678518379
Aa4446_3	62.5	1.795880017	55	1.740362689	35	1.544068044	10	1	53.4	1.727541257
Aa4446_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4446_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4446_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4446_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4446_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4447_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4447_2	59	1.770852012	53	1.72427587	80	1.903089987	79	1.897627091	692.2	2.840231595
Aa4447_4	59	1.770852012	59	1.770852012	100	2	40	1.602059991	402.8	2.605089462
Aa4447_5	59	1.770852012	54	1.73239376	100	2	68	1.832508913	619.4	2.791971201
Aa4447_6	100	2	33	1.51851394	23	1.361727836	5	0.698970004	23.2	1.365487985
Aa4447_7	48.5	1.685741739	50	1.698970004	75	1.875061263	43	1.633468456	336.7	2.527243116
Aa4447_8	52	1.716003344	50	1.698970004	75	1.875061263	41	1.612783857	728.9	2.86266795
Aa4448_1	52	1.716003344	36	1.556302501	20	1.301029996	26	1.414973348	108.6	2.035829825
Aa4448_2	69.5	1.841984805	40	1.602059991	20	1.301029996	15	1.176091259	189.3	2.277150614
Aa4448_3	66	1.819543936	30	1.477121255	16	1.204119983	7	0.84509804	29	1.462397998
Aa4448_4	100	2	35	1.544068044	12	1.079181246	13	1.113943352	67.6	1.829946696
Aa4448_5	62.5	1.795880017	40	1.602059991	10	1	62	1.792391689	634	2.802089258
Aa4448_6	100	2	17	1.230448921	10	1	4	0.602059991	15	1.176091259
Aa4448_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4448_8	69.5	1.841984805	27	1.431363764	10	1	5	0.698970004	15.6	1.193124598
Aa4449_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4449_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4449_3	45	1.653212514	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4449_4	45	1.653212514	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4449_5	66	1.819543936	32	1.505149978	20	1.301029996	4	0.602059991	13.6	1.133538908
Aa4449_6	66	1.819543936	40	1.602059991	20	1.301029996	21	1.322219295	64.4	1.808885867
Aa4449_7	45	1.653212514	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4449_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4450_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4450_2	59	1.770852012	32	1.505149978	20	1.301029996	6	0.77815125	9	0.954242509
Aa4450_3	59	1.770852012	36	1.556302501	30	1.477121255	10	1	14.45	1.159867847
Aa4450_4	59	1.770852012	35	1.544068044	30	1.477121255	3	0.477121255	2.8	0.447158031
Aa4450_5	48.5	1.685741739	44	1.643452676	60	1.77815125	20	1.301029996	98.1	1.991669007
Aa4450_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4450_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4450_8	45	1.653212514	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4451_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4451_3	45	1.653212514	34	1.531478917	20	1.301029996	16	1.204119983	29.3	1.46686762
Aa4451_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4451_5	45	1.653212514	50	1.698970004	70	1.84509804	44	1.643452676	184.9	2.266936911
Aa4451_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4451_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4452_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4452_2	69.5	1.841984805	11	1.041392685	23	1.361727836	13	1.113943352	4.2	0.62324929
Aa4452_3	100	2	8	0.903089987	22	1.342422681	21	1.322219295	25.1	1.399673721
Aa4452_4	100	2	17	1.230448921	80	1.903089987	30	1.477121255	174.8	2.242541428
Aa4452_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4452_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4452_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4452_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4453_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4453_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4453_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4453_4	100	2	28	1.447158031	30	1.477121255	43	1.633468456	115.4	2.062205809
Aa4453_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4453_6	100	2	21	1.322219295	18	1.255272505	16	1.204119983	17	1.230448921
Aa4453_7	100	2	18	1.255272505	20	1.301029996	30	1.477121255	54	1.73239376
Aa4453_8	100	2	20	1.301029996	35	1.544068044	24	1.380211242	76	1.880813592
Aa4454_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4454_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4454_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4454_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4454_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4454_6	41.5	1.618048097	40	1.602059991	35	1.544068044	10	1	41	1.612783857
Aa4454_7	48.5	1.685741739	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4454_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4456_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4456_2	45	1.653212514	44	1.643452676	26	1.414973348	40	1.602059991	95.8	1.981365509
Aa4456_3	45	1.653212514	55	1.740362689	19	1.278753601	40	1.602059991	153.9	2.18723862
Aa4456_4	59	1.770852012	54	1.73239376	20	1.301029996	24	1.380211242	123.4	2.09131516
Aa4456_5	59	1.770852012	53	1.72427587	27	1.431363764	20	1.301029996	143.6	2.15715444
Aa4456_6	45	1.653212514	36	1.556302501	18	1.255272505	16	1.204119983	53.8	1.730782276
Aa4456_7	45	1.653212514	43	1.633468456	27	1.431363764	31	1.491361694	85.8	1.933487288
Aa4456_8	45	1.653212514	57	1.755874856	10	1	19	1.278753601	161.1	2.20709554
Aa4479_1	41.5	1.618048097	58	1.763427994	20	1.301029996	39	1.591064607	171.2	2.23350376
Aa4479_2	48.5	1.685741739	53	1.72427587	25	1.397940009	20	1.301029996	128.2	2.107888025
Aa4479_3	62.5	1.795880017	60	1.77815125	30	1.477121255	55	1.740362689	300.3	2.477555332
Aa4479_4	62.5	1.795880017	51	1.707570176	25	1.397940009	35	1.544068044	172.7	2.237292338
Aa4479_5	48.5	1.685741739	43	1.633468456	27	1.431363764	45	1.653212514	208.4	2.318897715
Aa4479_6	45	1.653212514	47	1.672097858	30	1.477121255	89	1.949390007	364.9	2.562173863
Aa4479_7	59	1.770852012	45	1.653212514	20	1.301029996	19	1.278753601	127.6	2.105850674
Aa4479_8	66	1.819543936	58	1.763427994	25	1.397940009	19	1.278753601	143.7	2.157456768
Aa4480_1	69.5	1.841984805	35	1.544068044	22	1.342422681	21	1.322219295	33	1.51851394
Aa4480_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4480_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4480_4	73	1.86332286	25	1.397940009	25	1.397940009	5	0.698970004	14	1.146128036
Aa4480_5	66	1.819543936	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4480_6	66	1.819543936	60	1.77815125	100	2	42	1.62324929	311	2.492760389
Aa4480_7	59	1.770852012	35	1.544068044	75	1.875061263	44	1.643452676	181	2.257678575
Aa4480_8	66	1.819543936	60	1.77815125	75	1.875061263	23	1.361727836	95	1.977723605
Aa4482_1	45	1.653212514	40	1.602059991	45	1.653212514	20	1.301029996	45	1.653212514
Aa4482_2	48.5	1.685741739	47	1.672097858	80	1.903089987	43	1.633468456	284	2.45331834
Aa4482_3	41.5	1.618048097	45	1.653212514	60	1.77815125	44	1.643452676	230	2.361727836
Aa4482_4	45	1.653212514	38	1.579783597	55	1.740362689	41	1.612783857	129	2.11058971
Aa4482_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4482_6	55.5	1.744292983	50	1.698970004	60	1.77815125	25	1.397940009	103	2.012837225
Aa4482_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4482_8	48.5	1.685741739	48	1.681241237	85	1.929418926	46	1.662757832	400	2.602059991
Aa4483_1	73	1.86332286	32	1.505149978	50	1.698970004	80	1.903089987	86.9	1.939019776
Aa4483_2	80	1.903089987	30	1.477121255	35	1.544068044	17	1.230448921	20.1	1.303196057
Aa4483_3	80	1.903089987	33	1.51851394	35	1.544068044	12	1.079181246	23.4	1.369215857
Aa4483_4	66	1.819543936	35	1.544068044	40	1.602059991	61	1.785329835	71.4	1.853698212
Aa4483_5	100	2	25	1.397940009	30	1.477121255	9	0.954242509	9.1	0.959041392
Aa4483_6	80	1.903089987	33	1.51851394	75	1.875061263	71	1.851258349	191.6	2.282395505
Aa4483_7	100	2	33	1.51851394	55	1.740362689	7	0.84509804	19.2	1.283301229
Aa4483_8	100	2	40	1.602059991	45	1.653212514	107	2.029383778	180.2	2.255754787
Aa4487_1	34.5	1.537819095	47	1.672097858	70	1.84509804	34	1.531478917	194.1	2.288025535
Aa4487_2	38	1.579783597	38	1.579783597	100	2	64	1.806179974	436.8	2.64028263
Aa4487_3	45	1.653212514	43	1.633468456	100	2	54	1.73239376	337.8	2.528659645
Aa4487_4	45	1.653212514	41	1.612783857	50	1.698970004	40	1.602059991	84.8	1.928395852
Aa4487_5	45	1.653212514	17	1.230448921	90	1.954242509	40	1.602059991	319.8	2.504878459
Aa4487_6	48.5	1.685741739	52	1.716003344	70	1.84509804	25	1.397940009	145	2.161368002
